Goal,GoalDescription,Measure,MeasureDescription,Team Lead,Activity Type,Target Number,Notes,Quarter,Measurement
1,Expand ageny reach,1,Expand into 5 new geographic market,John,Quality Assurance,5,Expanded into 5 markets. Final 2 markets in Q4 were accomplished in June 2022,FY22.QTR.1.7/1-9/30/21,0
1,Expand ageny reach,1,Expand into 5 new geographic market,John,Quality Assurance,5,Expanded into 5 markets. Final 2 markets in Q4 were accomplished in June 2022,FY22.QTR.2.10/1-12/31/21,2
1,Expand ageny reach,1,Expand into 5 new geographic market,John,Quality Assurance,5,Expanded into 5 markets. Final 2 markets in Q4 were accomplished in June 2022,FY22.QTR.3.1/1-3/31/22,3
1,Expand ageny reach,1,Expand into 5 new geographic market,John,Quality Assurance,5,Expanded into 5 markets. Final 2 markets in Q4 were accomplished in June 2022,FY22.QTR.4.4/1-6/30/22,5
1,Expand ageny reach,2,Market through 2 new channels,Jane,Project-based,2,Marketed through 2 channels. 1 channel was accomplished in October and another was accomplished in April,FY22.QTR.1.7/1-9/30/21,0
1,Expand ageny reach,2,Market through 2 new channels,Jane,Project-based,2,Marketed through 2 channels. 1 channel was accomplished in October and another was accomplished in April,FY22.QTR.2.10/1-12/31/21,1
1,Expand ageny reach,2,Market through 2 new channels,Jane,Project-based,2,Marketed through 2 channels. 1 channel was accomplished in October and another was accomplished in April,FY22.QTR.3.1/1-3/31/22,1
1,Expand ageny reach,2,Market through 2 new channels,Jane,Project-based,2,Marketed through 2 channels. 1 channel was accomplished in October and another was accomplished in April,FY22.QTR.4.4/1-6/30/22,2
1,Expand ageny reach,3,Penetrate a new demographic,John,Project-based,1,New demographic penetrated in January.,FY22.QTR.1.7/1-9/30/21,0
1,Expand ageny reach,3,Penetrate a new demographic,John,Project-based,1,New demographic penetrated in January.,FY22.QTR.2.10/1-12/31/21,0
1,Expand ageny reach,3,Penetrate a new demographic,John,Project-based,1,New demographic penetrated in January.,FY22.QTR.3.1/1-3/31/22,1
1,Expand ageny reach,3,Penetrate a new demographic,John,Project-based,1,New demographic penetrated in January.,FY22.QTR.4.4/1-6/30/22,1
1,Expand ageny reach,4,Develop 2 new products or services,Bob,Project-based,2,New products created in November and May,FY22.QTR.1.7/1-9/30/21,0
1,Expand ageny reach,4,Develop 2 new products or services,Bob,Project-based,2,New products created in November and May,FY22.QTR.2.10/1-12/31/21,1
1,Expand ageny reach,4,Develop 2 new products or services,Bob,Project-based,2,New products created in November and May,FY22.QTR.3.1/1-3/31/22,1
1,Expand ageny reach,4,Develop 2 new products or services,Bob,Project-based,2,New products created in November and May,FY22.QTR.4.4/1-6/30/22,2
1,Strengthen agency capacity,1,Implement an employee development program,Ray,Project-based,1,Development program created in February,FY22.QTR.1.7/1-9/30/21,0
1,Strengthen agency capacity,1,Implement an employee development program,Ray,Project-based,1,Development program created in February,FY22.QTR.2.10/1-12/31/21,0
1,Strengthen agency capacity,1,Implement an employee development program,Ray,Project-based,1,Development program created in February,FY22.QTR.3.1/1-3/31/22,1
1,Strengthen agency capacity,1,Implement an employee development program,Ray,Project-based,1,Development program created in February,FY22.QTR.4.4/1-6/30/22,1
1,Strengthen agency capacity,2,Increase employee satisfaction,Phineas,Quantitative,0.8,Eployee satisfaction increased through the year but fell short of target,FY22.QTR.1.7/1-9/30/21,0.5
1,Strengthen agency capacity,2,Increase employee satisfaction,Phineas,Quantitative,0.8,Eployee satisfaction increased through the year but fell short of target,FY22.QTR.2.10/1-12/31/21,0.55
1,Strengthen agency capacity,2,Increase employee satisfaction,Phineas,Quantitative,0.8,Eployee satisfaction increased through the year but fell short of target,FY22.QTR.3.1/1-3/31/22,0.6
1,Strengthen agency capacity,2,Increase employee satisfaction,Phineas,Quantitative,0.8,Eployee satisfaction increased through the year but fell short of target,FY22.QTR.4.4/1-6/30/22,0.75
1,Strengthen agency capacity,3,Migrate to a new technology platform,Greg,Project-based,1,Unable to migrate to new technology platform,FY22.QTR.1.7/1-9/30/21,0
1,Strengthen agency capacity,3,Migrate to a new technology platform,Greg,Project-based,1,Unable to migrate to new technology platform,FY22.QTR.2.10/1-12/31/21,0
1,Strengthen agency capacity,3,Migrate to a new technology platform,Greg,Project-based,1,Unable to migrate to new technology platform,FY22.QTR.3.1/1-3/31/22,0
1,Strengthen agency capacity,3,Migrate to a new technology platform,Greg,Project-based,1,Unable to migrate to new technology platform,FY22.QTR.4.4/1-6/30/22,0
